ID,FROM_ID,TO_ID,TYPE
312,2009,2008,Cuts
313,2009,2010,Cuts
314,2009,2011,Cuts
315,2009,2035,Cuts
316,2009,2038,Cuts
317,2009,2048,Cuts
318,2009,2014,Cuts
319,2022,1,Cuts
320,2044,2023,Cuts
418,2029,2026,Cuts
419,2030,2027,Cuts
420,2030,2026,Cuts
425,2028,2027,Cuts
426,2028,2026,Cuts
427,2044,2046,Cuts
478,2084,1,Cuts
479,2086,1,Cuts
483,2115,2075,Cuts
484,2115,2082,Cuts
485,2101,1,Cuts
527,2115,2093,Cuts
528,2115,2080,Cuts
529,2138,2136,Cuts
530,2138,2139,Cuts
531,2148,1,Cuts
532,2150,1,Cuts
533,2152,1,Cuts
534,2157,1,Cuts
535,2159,1,Cuts
536,2161,1,Cuts
537,2163,1,Cuts
538,2165,1,Cuts
539,2167,1,Cuts
540,2169,1,Cuts
679,2172,2099,Cuts
680,2172,1,Cuts
681,2210,2178,Cuts
682,2188,2205,Cuts
683,2191,1,Cuts
684,2206,2201,Cuts
685,2206,2202,Cuts
686,2206,2213,Cuts
687,2206,2214,Cuts
688,2112,2104,Cuts
689,2112,2105,Cuts
690,2112,2116,Cuts
691,2112,2117,Cuts
693,2124,2147,Cuts
694,2129,2132,Cuts
695,2129,2135,Cuts
696,2129,2134,Cuts
697,2129,2050,Cuts
698,2129,2064,Cuts
699,2124,2135,Cuts
701,2129,2141,Cuts
702,2144,2147,Cuts
703,2146,2147,Cuts
704,2156,2147,Cuts
705,2129,2147,Cuts
706,2155,2147,Cuts
727,2236,2230,Cuts
728,2254,2232,Cuts
744,2294,2290,Cuts
745,2294,2291,Cuts
746,2294,4020,Cuts
747,2206,2212,Cuts
748,2206,2211,Cuts
749,2206,2221,Cuts
750,2206,2222,Cuts
751,2206,2234,Cuts
752,2206,2217,Cuts
753,2238,2230,Cuts
754,2252,2253,Cuts
755,2300,2253,Cuts
756,2302,2253,Cuts
757,2206,2227,Cuts
781,2206,3019,Cuts
782,2206,3023,Cuts
793,2206,2310,Cuts
807,2369,2292,Cuts
808,2304,2371,Cuts
809,2285,2260,Cuts
810,2327,2329,Cuts
811,2285,2329,Cuts
812,2247,2231,Cuts
813,2293,2239,Cuts
814,2242,2240,Cuts
815,2242,2307,Cuts
816,2304,2246,Cuts
817,2206,2247,Cuts
818,2247,2213,Cuts
819,2206,2248,Cuts
820,2298,2253,Cuts
863,2206,2308,Cuts
864,2206,2304,Cuts
865,2207,3075,Cuts
867,2282,2307,Cuts
868,2282,2289,Cuts
869,2285,2276,Cuts
870,2286,2276,Cuts
871,2286,2335,Cuts
872,2293,2290,Cuts
873,2295,2291,Cuts
874,2295,2292,Cuts
875,2304,2313,Cuts
876,2304,2202,Cuts
877,2304,2345,Cuts
878,2304,2374,Cuts
879,2347,2320,Cuts
880,2348,2349,Cuts
881,2356,2365,Cuts
882,2359,2349,Cuts
883,2367,2306,Cuts
915,2206,3055,Cuts
1108,2206,3474,Cuts
1136,2206,3626,Cuts
1186,2206,3729,Cuts
1197,2206,3740,Cuts
1198,2206,3741,Cuts
1199,2206,3750,Cuts
1200,2408,2411,Cuts
1201,2206,3710,Cuts
1202,2206,3747,Cuts
1203,2206,3748,Cuts
1204,2428,2411,Cuts
1205,2206,3770,Cuts
