SU,Class,Count,Weight
1016,Worked Bone,5,
2095,Worked Bone,1,
0,Bone,2,
3,Bone,2,
5,Bone,1,
7,Bone,1,
11,Bone,1,
21,Bone,,
22,Bone,1,
24,Bone,18,
26,Bone,,
34,Bone,1,
51,Bone,,
56,Bone,,
62,Bone,1,
76,Bone,,
82,Bone,,
89,Bone,,
101,Bone,,
115,Bone,2,
123,Bone,1,
124,Bone,2,
129,Bone,55,0.049
132,Bone,7,
140,Bone,,
141,Bone,,
142,Bone,,
144,Bone,,
145,Bone,,
148,Bone,1,
157,Bone,,
167,Bone,,
168,Bone,2,
169,Bone,,
170,Bone,,
183,Bone,,
192,Bone,,
195,Bone,1,
204,Bone,8,
211,Bone,4,
214,Bone,,
228,Bone,,
230,Bone,,
243,Bone,,
250,Bone,1,
252,Bone,2,
256,Bone,1,
258,Bone,1,
260,Bone,,
262,Bone,1,
278,Bone,,
280,Bone,,
291,Bone,1,
296,Bone,,
310,Bone,,
320,Bone,1,
321,Bone,1,
324,Bone,1,
325,Bone,1,
354,Bone,,
356,Bone,,
357,Bone,,
369,Bone,1,
370,Bone,,
373,Bone,,
374,Bone,,
375,Bone,,
376,Bone,13,0.022
379,Bone,,
380,Bone,,
385,Bone,,
389,Bone,1,
390,Bone,,
392,Bone,,
395,Bone,,
397,Bone,,
398,Bone,24,
414,Bone,17,
419,Bone,5,
425,Bone,5,
427,Bone,,
439,Bone,42,
444,Bone,,
446,Bone,1,
450,Bone,8,
455,Bone,2,
458,Bone,8,
459,Bone,4,
461,Bone,,
466,Bone,6,
475,Bone,2,
481,Bone,1,
505,Bone,1,
506,Bone,,
509,Bone,,
516,Bone,8,
521,Bone,1,
529,Bone,1,
537,Bone,,
538,Bone,,
539,Bone,,
542,Bone,1,
552,Bone,3,
554,Bone,,
561,Bone,,
563,Bone,31,
569,Bone,,
573,Bone,10,
574,Bone,4,
575,Bone,18,
576,Bone,4,
579,Bone,5,
580,Bone,7,
582,Bone,110,
583,Bone,51,
584,Bone,12,
587,Bone,91,
594,Bone,7,
598,Bone,1,
609,Bone,4,
999,Bone,2,
1008,Bone,1,
1012,Bone,,
1014,Bone,1,
1016,Bone,,
1020,Bone,,
1023,Bone,,
1027,Bone,,
1030,Bone,1,
1032,Bone,,
1034,Bone,4,
1039,Bone,,
1044,Bone,,
1050,Bone,,
1054,Bone,,
1056,Bone,,
1078,Bone,37,0.065
1080,Bone,,
1100,Bone,1,
1112,Bone,,
1116,Bone,5,
1121,Bone,1,
