"ID","DEFINITION","FORMATION_PROCESS","CLAY","SILT","SAND","SOIL_COMPACTION","SOIL_COLOR","CERAMICS_OBSERVATIONS"
0,"","",0.0,0.0,0.0,"","",""
1,"Bedrock identified in 2009","Accumulation",0.0,0.0,0.0,"","",""
3,"Fill of cut SU4","Accumulation",0.0,0.0,0.0,"","",""
4,"Rectangular cut in bedrock","Cutting",0.0,0.0,0.0,"","",""
5,"Layer of brown, silty clay","Accumulation",30.0,70.0,0.0,"Compact","Brown",""
6,"Cut in bedrock","Cutting",0.0,0.0,0.0,"","",""
7,"Layer of rocks mixed with brown clay","Accumulation",100.0,0.0,0.0,"Compact","Brown",""
8,"Cluster of mortar on Northwest side of cut","Accumulation",0.0,0.0,0.0,"Compact","Brown",""
9,"Cluster of mortar in SE side of SU4","Accumulation",10.0,90.0,0.0,"Compact","Brown",""
10,"Cluster of roof tiles in SW corner of SU4","Collapse",10.0,90.0,0.0,"","",""
11,"Layer of brown sandy clay","Accumulation",40.0,0.0,60.0,"Loose","Brown",""
12,"Cluster of mortar, rock, and tile pieces","Accumulation",10.0,90.0,0.0,"Loose","Brown",""
13,"Cover tiles still standing from a capuccina tomb","Construction",0.0,0.0,0.0,"","",""
14,"Pan tile laying flat in south end of trench","Accumulation",0.0,0.0,0.0,"","",""
15,"Layer of rocks placed north of SU13","Accumulation",0.0,0.0,0.0,"Compact","Gray",""
16,"Tiles in Tomb 1 covering burial","Intentional Deposition",0.0,0.0,0.0,"","",""
17,"Layer of brown, silty clay","Accumulation",0.0,50.0,50.0,"Loose","Brown",""
18,"Cut in bedrock","Cutting",0.0,0.0,0.0,"","",""
19,"Fill of SU20","Accumulation",30.0,70.0,0.0,"Friable","Brown",""
20,"Circular cut in tufo","Cutting",0.0,0.0,0.0,"","",""
21,"Layer of clayey silt below vaulted tiles","Accumulation",20.0,80.0,0.0,"Loose","Brown",""
22,"Human remains in rectangular tomb","Intentional Deposition",0.0,0.0,0.0,"","",""
23,"Second cut in grave beneath SU4 cut","Cutting",0.0,0.0,0.0,"","",""
24,"Layer of brown sandy clay","Accumulation",20.0,0.0,80.0,"Compact","Brown",""
25,"Cut filled by SU24 (circular)","Cutting",0.0,0.0,0.0,"","",""
26,"Layer of light brown sandy clay in western part of Area A","Accumulation",20.0,0.0,80.0,"Friable","Brown",""
27,"Circular cut in bedrock","Cutting",0.0,0.0,0.0,"","",""
28,"Layer of clayey sand filling cut SU27","Accumulation",20.0,0.0,80.0,"Compact","Brown",""
29,"Circular cut in bedrock","Cutting",0.0,0.0,0.0,"","",""
30,"Layer of clayey sand filling cut SU29","Accumulation",20.0,0.0,80.0,"Compact","Brown",""
31,"Circular cut in tufo west of SU29","Cutting",0.0,0.0,0.0,"","",""
32,"Layer of clayey sandy silt filling cut SU31","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
33,"Circular cut in tufo.","Cutting",0.0,0.0,0.0,"","",""
34,"Layer of clayey sandy silt filling cut SU33.","Accumulation",15.0,75.0,10.0,"Compact","Brown",""
35,"Circular cut in tufo west of cut SU33.","Cutting",0.0,0.0,0.0,"","",""
36,"Layer of sandy, clayey silt filling cut SU35","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
37,"Circular cut in tufo south of cut SU35.","Cutting",0.0,0.0,0.0,"","",""
38,"Layer of clayey, sandy silt filling cut SU37","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
39,"Small circular cut in bedrock, north of SU31 cut.","Cutting",0.0,0.0,0.0,"","",""
40,"Layer of clayey, sandy silt filling cut SU39.","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
41,"Circular cut in tufo west of cut SU39.","Cutting",0.0,0.0,0.0,"","",""
42,"Layer of clayey, sandy silt.","Accumulation",10.0,80.0,10.0,"Compact","",""
43,"Small circular cut in tufo, southwest of SU31","Cutting",0.0,0.0,0.0,"","",""
44,"Layer of clayey, sandy silt filling cut SU43","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
45,"Roughly circular feature cut into bedrock.","Cutting",0.0,0.0,0.0,"","",""
46,"Layer of clayey, sandy silt filling cut SU45.","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
47,"Circular cut in tufo northeast of SU33.","Cutting",0.0,0.0,0.0,"","",""
48,"Layer of clayey silt filling cut SU47","Accumulation",10.0,90.0,0.0,"Compact","Brown",""
49,"Triangular cut in tufo east of SU45","Cutting",0.0,0.0,0.0,"","",""
50,"Layer of clayey, sandy silt filling cut SU49.","Accumulation",10.0,80.0,10.0,"Hard","Brown",""
51,"Layer of brown sandy clay on the road","Accumulation",20.0,0.0,80.0,"Friable","Brown",""
52,"Block of travertine placed in the southern part of the road.","Construction",0.0,0.0,0.0,"Hard","White",""
53,"Circular cut in tufo, west of SU6.","Cutting",0.0,0.0,0.0,"","",""
54,"Layer of clayey, sandy silt filling cut SU53","Accumulation",10.0,80.0,10.0,"Hard","Brown",""
55,"Circular cut in tufo, northeast of cut SU53","Cutting",0.0,0.0,0.0,"","",""
56,"Layer of clayey sandy silt filling cut SU55","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
57,"Triangular cut in bedrock northeast of SU6 cut","Cutting",0.0,0.0,0.0,"","",""
58,"Layer of clayey, sandy silt filling cut SU57","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
59,"Square cut in tufo, west of cut SU57","Cutting",0.0,0.0,0.0,"","",""
60,"Layer of clayey silt filling cut SU59","Accumulation",20.0,80.0,0.0,"Compact","Brown",""
61,"Circular cut in tufo south of cut SU6","Cutting",0.0,0.0,0.0,"","",""
62,"Layer of clayey, sandy silt filling cut SU61","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
63,"Circular cut northeast of cut SU6","Cutting",0.0,0.0,0.0,"","",""
64,"Layer of clayey, sandy silt filling cut SU63","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
65,"Square cut in tufo south of cut SU63","Cutting",0.0,0.0,0.0,"","",""
66,"Layer of clayish-silt filling SU65","Accumulation",20.0,80.0,0.0,"Compact","Brown",""
67,"Circular cut in tufo, north of cut SU4","Cutting",0.0,0.0,0.0,"","",""
68,"Layer of clayey silt filling cut SU67","Accumulation",20.0,80.0,0.0,"Compact","Brown",""
69,"Circular cut in tufo east of cut SU4","Cutting",0.0,0.0,0.0,"","",""
70,"Layer of clayey, sandy silt filling cut SU69","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
71,"Circular cut south of SU4 cut","Cutting",0.0,0.0,0.0,"","",""
72,"Layer of clayey, sandy silt filling cut SU71","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
73,"Oval cut in tufo west of cut SU71.","Cutting",0.0,0.0,0.0,"","",""
74,"Layer of clayey, sandy slit filling cut SU73","Accumulation",10.0,80.0,10.0,"Hard","Brown",""
75,"Circular cut in tufo west of cut SU6.","Cutting",0.0,0.0,0.0,"","",""
76,"Layer of clayey, sandy silt filling cut SU75","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
77,"Ceramic vessel suspended in situ in layer SU76","Accumulation",0.0,0.0,0.0,"","",""
78,"Circular cut in tufo, southeast of cut SU43","Cutting",0.0,0.0,0.0,"","",""
79,"Layer of clayey, sandy silt filling cut SU78.","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
80,"Circular cut in tufo north of cut SU29.","Cutting",0.0,0.0,0.0,"","",""
81,"Layer of clayey, sandy silt filling cut SU80","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
82,"Layer of light brown silty clay in SE part of Area A","Accumulation",20.0,80.0,0.0,"Compact","Light Brown",""
83,"Circular cut in tufo north of cut SU27","Cutting",0.0,0.0,0.0,"","",""
84,"Layer of clayey, sandy silt filling cut SU83.","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
85,"Circular cut in tufo east of cut SU83","Cutting",0.0,0.0,0.0,"","",""
86,"Layer of clayey, sandy silt filling cut SU85","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
87,"Circular cut in tufo east of cut SU85","Cutting",0.0,0.0,0.0,"","",""
88,"Layer of clayey silt filling cut SU87.","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
89,"Layer of brown silty clay","Accumulation",30.0,70.0,0.0,"Compact","Brown",""
90,"Rectangular cut in the tufo, north of SU52","Cutting",0.0,0.0,0.0,"","",""
91,"Layer of brown, clayey sand in cut SU92","Accumulation",70.0,0.0,30.0,"Compact","Brown",""
92,"Circular cut in tufo south of cut SU90.","Cutting",0.0,0.0,0.0,"","",""
93,"Circular cut in tufo north of cut SU4","Cutting",0.0,0.0,0.0,"","",""
94,"Layer of clayey silt in cut SU93.","Accumulation",10.0,90.0,0.0,"Compact","Black",""
95,"Circular cut in tufo north of cut SU93","Cutting",0.0,0.0,0.0,"","Black",""
96,"Layer of clayey, sandy silt in cut SU95","Accumulation",10.0,80.0,10.0,"Hard","Brown",""
97,"Series of rocks in cut SU93 below SU94 fill","Intentional Deposition",0.0,0.0,0.0,"Compact","Gray",""
98,"Layer of clayey silt in cut SU93","Accumulation",20.0,80.0,0.0,"Compact","Brown",""
99,"Cluster of rocks","Accumulation",0.0,0.0,0.0,"","",""
100,"Rectangular cut in tufo south of SU87","Cutting",0.0,0.0,0.0,"","",""
101,"Layer of clayey silt in cut SU100","Accumulation",15.0,85.0,0.0,"Compact","Brown",""
102,"Circular cut in tufo north of cut SU100","Cutting",0.0,0.0,0.0,"","",""
103,"Layer of clayey, sandy silt in cut SU102","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
104,"Stones set in cut SU95","Intentional Deposition",20.0,70.0,10.0,"Loose","Brown",""
105,"Layer of grey, rough stones in cut SU100","Accumulation",0.0,0.0,0.0,"","Gray",""
106,"Triangular cut in tufo north of cut SU100","Cutting",0.0,0.0,0.0,"","",""
107,"Layer of clayey, sandy silt in cut SU106.","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
108,"Layer of silt and tufo","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
109,"Ring of tufo stones - posthole?","Construction",0.0,0.0,0.0,"Hard","Light Brown",""
110,"Tufo in cut SU100","Cutting",0.0,0.0,0.0,"","",""
