SU_ID,CERAMICS_CLASS,CERAMICS_DETAILS,VESSELS,RIMS,HANDLES,BASES,WALLS,TOTAL,WEIGHT,SIZE_MIN,SIZE_MAX,SD_START,SD_START_SUFFIX,SD_END,SD_END_SUFFIX
0,Black Gloss,NULL,NULL,1,NULL,NULL,2,3,NULL,NULL,NULL,400,BC,50,BC
0,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,675,BC,550,BC
0,Impasto,NULL,NULL,1,NULL,NULL,10,11,NULL,NULL,NULL,900,BC,500,BC
0,Impasto Chiaro Sabbioso,NULL,NULL,1,NULL,NULL,1,1,NULL,NULL,NULL,500,BC,400,BC
3,Black Gloss,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,400,BC,100,BC
3,Commonware,NULL,NULL,2,NULL,NULL,19,21,NULL,NULL,NULL,200,BC,25,BC
3,Lamp,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,500,BC,25,BC
5,Impasto,NULL,NULL,1,NULL,NULL,6,7,NULL,NULL,NULL,900,BC,500,BC
7,African Cookware,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,0,AD,500,AD
7,Black Gloss,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,NULL,400,BC,100,BC
7,Commonware,NULL,NULL,3,1,1,21,26,NULL,NULL,NULL,0,AD,200,AD
7,Impasto,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,NULL,900,BC,500,BC
7,Terra Sigillata,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,50,BC,180,AD
11,Black Gloss,NULL,NULL,1,1,NULL,2,4,NULL,NULL,NULL,400,BC,50,BC
11,Black Gloss,NULL,NULL,1,1,NULL,2,4,NULL,NULL,NULL,400,BC,50,BC
11,Terra Sigillata,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,50,BC,180,AD
12,Black Gloss,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,350,BC,265,BC
13,Tegula,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,117,AD,121,AD
13,Tegula,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,40,AD,50,AD
14,Tegula,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,50,BC,50,AD
21,Black Gloss,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,400,BC,50,BC
21,Impasto,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,900,BC,500,BC
24,Impasto,NULL,NULL,10,1,NULL,58,69,NULL,NULL,NULL,900,BC,500,BC
24,Thin Walled,NULL,NULL,2,NULL,NULL,NULL,2,NULL,NULL,NULL,190,BC,300,AD
26,African Cookware,NULL,NULL,NULL,NULL,NULL,1,2,NULL,NULL,NULL,200,AD,250,AD
26,Bucchero,NULL,NULL,30,11,7,72,120,NULL,NULL,NULL,625,BC,575,BC
