SU_ID,CERAMICS_CLASS,CERAMICS_DETAILS,VESSELS,RIMS,HANDLES,BASES,WALLS,TOTAL,WEIGHT,SIZE_MIN,SIZE_MAX,SD_START,SD_END
3504,Cooking Stand,Two wall base sherds were diagnostic and spot dated as similar to type IA and IIA in Scheffer. ,0,0,0,2,3,5,0.784,4,10,-1100,-900
3265,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,3,3,0.064,2,6,-900,-800
147,Impasto,NULL,NULL,NULL,NULL,NULL,10,10,NULL,NULL,NULL,-900,-770
148,Impasto,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,-900,-770
341,Impasto,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-900,-770
507,Impasto,NULL,NULL,2,NULL,NULL,NULL,2,NULL,NULL,NULL,-900,-770
607,Impasto,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-900,-770
1378,Impasto Rosso,NULL,NULL,2,NULL,NULL,5,7,NULL,NULL,NULL,-900,-770
2346,Impasto,NULL,NULL,16,4,1,134,155,3.325,1,10,-900,-770
3257,Impasto,NULL,NULL,12,2,NULL,132,146,2.22,1,11,-900,-770
3259,Impasto,NULL,NULL,105,13,17,980,1115,16.458,1,11,-900,-770
3259,Impasto,NULL,NULL,105,13,17,980,1115,16.458,1,11,-900,-770
3263,Impasto,NULL,NULL,50,7,3,628,688,5.555,1,11,-900,-770
3264,Impasto,NULL,NULL,5,3,1,41,50,0.712,2,8,-900,-770
3265,Impasto,NULL,NULL,4,NULL,1,60,65,0.72,2,7,-900,-770
3270,Impasto,NULL,NULL,3,NULL,1,31,35,1.265,2,8,-900,-770
3274,Impasto,NULL,NULL,4,2,1,72,79,2.12,1,11,-900,-770
3285,Impasto,NULL,NULL,7,NULL,1,17,25,0.21,2,6,-900,-770
3287,Impasto Bruno,NULL,NULL,4,2,2,78,86,1.142,1,9,-900,-770
3350,Impasto,NULL,1,NULL,NULL,NULL,NULL,1,0.124,NULL,NULL,-900,-770
3474,Impasto,NULL,NULL,NULL,NULL,NULL,5,5,0.108,2,8,-900,-770
3483,Impasto,NULL,NULL,6,NULL,1,121,128,1.22,2,7,-900,-770
3498,Impasto,NULL,NULL,1,NULL,NULL,13,14,0.146,2,5,-900,-770
3532,Impasto,NULL,NULL,12,104,1,6,117,2.184,1,11,-900,-770
3540,Impasto,NULL,NULL,NULL,1,NULL,2,3,0.396,3,8,-900,-770
